,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,URL,Title,Content Guidance,Suggested Title,State,Assignment,Jira Epic ,Notes
0,0,0,0,0,https://www.mdwfp.com/,"MS Wildlife, Fisheries, & Parks",,,,,,
1,1,1,1,1,https://www.mdwfp.com/law-enforcement/,MDWFP - Law Enforcement,"Page will be transformed into a richer, more image-heavy and engaging landing page. See designs. ",,,,,
2,2,2,2,2,https://www.mdwfp.com/law-enforcement/fallen-officers-memorial/,MDWFP - Fallen Officers Memorial,Recommend starting with an intro and carousel if at all possible. Video is also pretty important. ,,,,,
3,3,3,3,3,https://www.mdwfp.com/law-enforcement/shootingfacilities/,MDWFP - ShootingFacilities,Possibly not needed - this only serves as a gateway to three facilities. This might just be consolidated with line 3. ,Frequently Asked Questions ,,,,
4,4,4,4,4,https://www.mdwfp.com/law-enforcement/hunting-rules-regs/,MDWFP - Hunting Rules & Regs,"Important, and detailed, page, but is a wall of text. Needs more 'chunking' and visual interest. Possible accordions to manage space. ",Hunting Rules & Regulations,,,,
5,5,5,5,5,https://www.mdwfp.com/law-enforcement/officer-courtesies/,MDWFP - Officer Courtesies,,,,,,
6,6,6,6,6,https://www.mdwfp.com/law-enforcement/boating-rules-regs/,MDWFP - Boating Rules & Regs,"Currently this page is a list of links. Instead we should expose helpful content here, using primarily that found on 'General Boating Rules & Regulations'. TBD whether this page can include FAQs or if FAQs should be its own page. Checklist should be incorporated here too, rather than its own page. Most other links on the current page are PDFs or external, which can all remain links. ",Boating Rules & Regulations,,,,
7,7,7,7,7,https://www.mdwfp.com/law-enforcement/boating-rules-regs/general-boating-rules-regulations/,MDWFP - General Boating Rules & Regulations,Consolidate with line 8. ,,,,,
8,8,8,8,8,https://www.mdwfp.com/law-enforcement/boating-rules-regs/boating-check-list/,MDWFP - Boating Check List,Consolidate with line 8. ,,,,,
9,9,9,9,9,https://www.mdwfp.com/law-enforcement/mcivor-shooting-facility/,MDWFP - McIvor Shooting Facility,,,,,,
10,10,10,10,10,https://www.mdwfp.com/law-enforcement/ms-scholastic-shooting-program/,MDWFP - MS Scholastic Shooting Program,,,,,,
11,11,11,11,11,https://www.mdwfp.com/law-enforcement/law-enforcement-careers/,MDWFP - Law Enforcement Careers,,,,,,
12,12,12,12,12,https://www.mdwfp.com/law-enforcement/turcotte-shooting-facility/,MDWFP - Turcotte Shooting Facility,,,,,,
13,13,13,13,13,https://www.mdwfp.com/law-enforcement/fishing-rules-regs/,MDWFP - Fishing Rules & Regs,"This page is reasonable length and volume. Most links should remain links, but would ideally be moved to the bottom (ie 'Additional Resources'). Imagery and other visual elements would help. Commercial Fishing should just be a link, not text on this page. ",Fishing Rules & Regulations,,,,
14,14,14,14,14,https://www.mdwfp.com/law-enforcement/fishing-rules-regs/general-fishing-regs/,MDWFP - General Fishing Regs,This appears to be a DUPLICATE. Eliminate. ,Going to be eliminated ,,,,
15,15,15,15,15,https://www.mdwfp.com/law-enforcement/boater-education/,MDWFP - Boater Education,This page is reasonable in length and volume. Actions / key links should be called out with a CTA or greater emphasis / prominence and the page could use some visual interest as well. Jump links are unnecessary. ,,,,,
16,16,16,16,16,https://www.mdwfp.com/law-enforcement/boater-education/online-boaters-ed/,MDWFP - Online Boaters Ed,This appears to be largely a DUPLICATE. Consolidate with 17 / eliminate.,Going to be eliminated ,,,,
17,17,17,17,17,https://www.mdwfp.com/law-enforcement/shooting-facilities/,MDWFP - Shooting Facilities,,,,,,
18,18,18,18,18,https://www.mdwfp.com/law-enforcement/mchenry-shooting-facility/,MDWFP - McHenry Shooting Facility,,,,,,
19,19,19,19,19,https://www.mdwfp.com/law-enforcement/shooting-facilities,MDWFP - Shooting Facilities,,,,,,
20,20,20,20,20,https://www.mdwfp.com/law-enforcement/photo-albums/turcotte-shooting-range/,MDWFP - Turcotte Shooting Range,,,,,,
21,21,21,21,21,https://www.mdwfp.com/law-enforcement/photo-albums/mchenry-shooting-range/,MDWFP - McHenry Shooting Range,,,,,,
22,22,22,22,22,https://www.mdwfp.com/law-enforcement/turcotte-shooting-facility,MDWFP - Turcotte Shooting Facility,"This page provides thorough and comprehensive information but would benefit from re-ordering. Key details about visiting the facility should be surfaced first (ie location/address, fees, and hours) followed by other qualitative infornation including the video. ",,,,,
23,23,23,23,23,https://www.mdwfp.com/law-enforcement/ms-scholastic-shooting-program.aspx,MDWFP - MS Scholastic Shooting Program,,,,,,
24,24,24,24,24,https://www.mdwfp.com/law-enforcement/faq/,MDWFP - FAQ,"Good page, largely leave as-is with accordions for each Q+A.",Frequently Asked Questions ,,,,
25,25,25,25,25,https://www.mdwfp.com/parks-destinations/,MDWFP - Parks & Destinations,,,,,,
26,26,26,26,26,https://www.mdwfp.com/parks-destinations/tentrr/,MDWFP - Tentrr,Not a high-value page. ,Tentrr Camping Services ,,,,
27,27,27,27,27,https://www.mdwfp.com/parks-destinations/tentrr/tentrr/tentrr-at-ms-state-parks/,MDWFP - Tentrr at MS State Parks,Use /parks-destinations/tentrr as the URL rather than this longer one. Page content is quite good. Use a carousel for the imagery near the bottom. Consider cards or something more graphical for the list of parks where tentrr reservations can be used. ,Tentrr at Mississippi State Parks,,,,
28,28,28,28,28,https://www.mdwfp.com/parks-destinations/ms-state-parks-faq/,MDWFP - MS State Parks FAQ,"Good page, largely leave as-is with accordions for each Q+A.",Mississippi State Parks Frequently Asked Questions,,,,
29,29,29,29,29,https://www.mdwfp.com/parks-destinations/trails/,MDWFP - Trails,"Good page. Suggest using accordions for the sections that are specific guidance for different trail users - equestrians, bicyclists, etc. Consider eliminating the signage imagery as it is cropped oddly and creates a lot of unnecessary height. ",,,,,
30,30,30,30,30,https://www.mdwfp.com/parks-destinations/trails/search/,MDWFP - Search,,Search Trails,,,,
31,31,31,31,31,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/,MDWFP - Outdoor Recreational Grants,Would definitely benefit from 1-2 sentence intro. ,,,,,
32,32,32,32,32,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/rtp-faqs/,MDWFP - RTP FAQs,There are not that many FAQs; move these to line 35 for consolidation. ,Recreational Trails Program Frequently Asked Questions ,,,,
33,33,33,33,33,https://www.mdwfp.com/parks-destinations/outdoor-recreational-grants/lwcf-faqs/,MDWFP - LWCF FAQs,There are not that many FAQs; move these to line 35 for consolidation. ,Land and Water Conservation Fund Frequently Asked Questions ,,,,
34,34,34,34,34,https://www.mdwfp.com/parks-destinations/additional-resources/,MDWFP - Additional Resources,Should not be its own page. Incorporate into Parks and Destinations landing page!,,,,,
35,35,35,35,35,https://www.mdwfp.com/parks-destinations/additional-resources/ms-state-parks-earn-national-rankings/,MDWFP - MS State Parks Earn National Rankings,,,,,,
36,36,36,36,36,https://www.mdwfp.com/parks-destinations/bulletin-board/,MDWFP - Bulletin Board,,,,,,
37,37,37,37,37,https://www.mdwfp.com/parks-destinations/trail-safety/,MDWFP - Trail Safety,,,,,,
38,38,38,38,38,https://www.mdwfp.com/parks-destinations/state-parks/,MDWFP - State Parks,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
39,39,39,39,39,https://www.mdwfp.com/parks-destinations/state-parks/lefleurs-bluff/,MDWFP - LeFleur's Bluff,Significant consolidation and re-org of the park pages. See design guidance and content script. ,LeFleur's Bluff State Park ,,,,
40,40,40,40,40,https://www.mdwfp.com/parks-destinations/state-parks/holmes-county/,MDWFP - Holmes County,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Holmes County State Park ,,,,
41,41,41,41,41,https://www.mdwfp.com/parks-destinations/state-parks/holmes-county/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
42,42,42,42,42,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/,MDWFP - Tishomingo,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Tishomingo State Park ,,,,
