,count,State,Users,Notes,Merge,Legacy URL,New URL,Title,Suggested Title,Jira Epic
0,3,In Progress,Jim,nan, ,https://www.mdwfp.com/,/home,"MS Wildlife, Fisheries, & Parks",nan,nan
1,4,In Progress,Jim,"Page will be transformed into a richer, more image-heavy and engaging landing page. See designs. ", ,https://www.mdwfp.com/law-enforcement/,nan,MDWFP - Law Enforcement,nan,MDWFP-151
2,5,Backlog,Sarah C,Recommend starting with an intro and carousel if at all possible. Video is also pretty important., ,https://www.mdwfp.com/law-enforcement/fallen-officers-memorial/,nan,MDWFP - Fallen Officers Memorial,nan,MDWFP-151
3,5,Backlog,Open,Possibly not needed - this only serves as a gateway to three facilities. This might just be consolidated with line 3., ,https://www.mdwfp.com/law-enforcement/shootingfacilities/,nan,MDWFP - ShootingFacilities,Frequently Asked Questions,MDWFP-151
4,5,Content Review,Sarah P,"Important, and detailed, page, but is a wall of text. Needs more 'chunking' and visual interest. Possible accordions to manage space. ", ,https://www.mdwfp.com/law-enforcement/hunting-rules-regs/,https://test-mdwfp.pantheonsite.io/wildlife-hunting/hunting-rules-and-regulations,MDWFP - Hunting Rules & Regs,Hunting Rules & Regulations,MDWFP-151
5,5,Backlog,Open,Test,Merge ⬇️,https://www.mdwfp.com/law-enforcement/officer-courtesies/,nan,MDWFP - Officer Courtesies,nan,MDWFP-151
6,5,Backlog,Open,"Currently this page is a list of links. Instead we should expose helpful content here, using primarily that found on 'General Boating Rules & Regulations'. TBD whether this page can include FAQs or if FAQs should be its own page. Checklist should be incorporated here too, rather than its own page. Most other links on the current page are PDFs or external, which can all remain links. ",Merge ⬆️,https://www.mdwfp.com/law-enforcement/boating-rules-regs/,nan,MDWFP - Boating Rules & Regs,Boating Rules & Regulations,MDWFP-151
7,6,Backlog,nan,Consolidate with line 8., ,https://www.mdwfp.com/law-enforcement/boating-rules-regs/general-boating-rules-regulations/,nan,MDWFP - General Boating Rules & Regulations,nan,MDWFP-151
8,6,Backlog,nan,Consolidate with line 8., ,https://www.mdwfp.com/law-enforcement/boating-rules-regs/boating-check-list/,nan,MDWFP - Boating Check List,nan,MDWFP-151
9,5,Content Review,Sarah P,nan, ,https://www.mdwfp.com/law-enforcement/mcivor-shooting-facility/,https://test-mdwfp.pantheonsite.io/law-enforcement/shooting-facilities/mcivor-shooting-facility,MDWFP - McIvor Shooting Facility,nan,MDWFP-151
